DISTRICT,LOCAL,Name,PROVINCE,PR_NAME,TYPE,mean,month,year,Date
Chitawan,Bharatpur,,3,Bagmati Pradesh,Mahanagarpalika,0.008800206,1,2001,
Chitawan,Bharatpur,,3,Bagmati Pradesh,Mahanagarpalika,0.013021146,2,2001,
Chitawan,Bharatpur,,3,Bagmati Pradesh,Mahanagarpalika,0.016994551,3,2001,
Chitawan,Bharatpur,,3,Bagmati Pradesh,Mahanagarpalika,0.046125009,4,2001,
Chitawan,Bharatpur,,3,Bagmati Pradesh,Mahanagarpalika,0.352421316,5,2001,
Chitawan,Bharatpur,,3,Bagmati Pradesh,Mahanagarpalika,0.477906404,6,2001,
Chitawan,Bharatpur,,3,Bagmati Pradesh,Mahanagarpalika,0.456535313,7,2001,
Chitawan,Bharatpur,,3,Bagmati Pradesh,Mahanagarpalika,0.548664921,8,2001,
Chitawan,Bharatpur,,3,Bagmati Pradesh,Mahanagarpalika,0.409269324,9,2001,
Chitawan,Bharatpur,,3,Bagmati Pradesh,Mahanagarpalika,0.154743117,10,2001,
Chitawan,Bharatpur,,3,Bagmati Pradesh,Mahanagarpalika,0.009410393,11,2001,
Chitawan,Bharatpur,,3,Bagmati Pradesh,Mahanagarpalika,0.002713017,12,2001,
Chitawan,Bharatpur,,3,Bagmati Pradesh,Mahanagarpalika,0.030503915,1,2002,
Chitawan,Bharatpur,,3,Bagmati Pradesh,Mahanagarpalika,0.024751354,2,2002,
Chitawan,Bharatpur,,3,Bagmati Pradesh,Mahanagarpalika,0.01890652,3,2002,
Chitawan,Bharatpur,,3,Bagmati Pradesh,Mahanagarpalika,0.091271239,4,2002,
Chitawan,Bharatpur,,3,Bagmati Pradesh,Mahanagarpalika,0.344480162,5,2002,
Chitawan,Bharatpur,,3,Bagmati Pradesh,Mahanagarpalika,0.418510937,6,2002,
Chitawan,Bharatpur,,3,Bagmati Pradesh,Mahanagarpalika,1.132916721,7,2002,
Chitawan,Bharatpur,,3,Bagmati Pradesh,Mahanagarpalika,0.374847028,8,2002,
Chitawan,Bharatpur,,3,Bagmati Pradesh,Mahanagarpalika,0.219540336,9,2002,
Chitawan,Bharatpur,,3,Bagmati Pradesh,Mahanagarpalika,0.033844469,10,2002,
Chitawan,Bharatpur,,3,Bagmati Pradesh,Mahanagarpalika,0.00498686,11,2002,
Chitawan,Bharatpur,,3,Bagmati Pradesh,Mahanagarpalika,0.022996113,12,2002,
Chitawan,Bharatpur,,3,Bagmati Pradesh,Mahanagarpalika,0.039688278,1,2003,
Chitawan,Bharatpur,,3,Bagmati Pradesh,Mahanagarpalika,0.062221636,2,2003,
Chitawan,Bharatpur,,3,Bagmati Pradesh,Mahanagarpalika,0.035215096,3,2003,
Chitawan,Bharatpur,,3,Bagmati Pradesh,Mahanagarpalika,0.075441584,4,2003,
Chitawan,Bharatpur,,3,Bagmati Pradesh,Mahanagarpalika,0.078610188,5,2003,
Chitawan,Bharatpur,,3,Bagmati Pradesh,Mahanagarpalika,0.832246675,6,2003,
Chitawan,Bharatpur,,3,Bagmati Pradesh,Mahanagarpalika,0.695744949,7,2003,
